Title,Album,Artist,Duration (ms),Rating,Play Count,Removed,Playlist Index
"It Ain&#39;t Me","It Ain&#39;t Me","Kygo &amp; Selena Gomez","220000","5","52","","19"
Title,Album,Artist,Duration (ms),Rating,Play Count,Removed,Playlist Index
"I&#39;ll Forget You","Leavetaking","Peter Bradley Adams","221000","5","26","","358"
Title,Album,Artist,Duration (ms),Rating,Play Count,Removed,Playlist Index
"Jenny","Walk The Moon","WALK THE MOON","245000","5","65","","273"
Title,Album,Artist,Duration (ms),Rating,Play Count,Removed,Playlist Index
"Just Another Girl","Direct Hits","The Killers","262000","5","44","","350"
Title,Album,Artist,Duration (ms),Rating,Play Count,Removed,Playlist Index
"Just Call (feat. Bella Thorne)","Just Call (feat. Bella Thorne)","Prince Fox","168000","5","88","","191"
Title,Album,Artist,Duration (ms),Rating,Play Count,Removed,Playlist Index
"Keep Breathing","Be OK","Ingrid Michaelson","205000","5","32","","363"
Title,Album,Artist,Duration (ms),Rating,Play Count,Removed,Playlist Index
"Keep Me Crazy","Keep Me Crazy","Sheppard","196000","5","60","","142"
Title,Album,Artist,Duration (ms),Rating,Play Count,Removed,Playlist Index
"Kevin’s Heart","KOD","J. Cole","200000","5","59","","132"
Title,Album,Artist,Duration (ms),Rating,Play Count,Removed,Playlist Index
"King","King","GRADES","187000","5","86","","235"
Title,Album,Artist,Duration (ms),Rating,Play Count,Removed,Playlist Index
"Kiss Me Again (feat. Alex Gaskarth)","Kiss Me Again (feat. Alex Gaskarth)","We Are The In Crowd","200000","5","102","","253"
Title,Album,Artist,Duration (ms),Rating,Play Count,Removed,Playlist Index
"Lack of Emotion","Lack of Emotion","Skott","187000","5","126","","206"
Title,Album,Artist,Duration (ms),Rating,Play Count,Removed,Playlist Index
"Ladykiller","Overexposed (Deluxe)","Maroon 5","164000","5","37","","337"
Title,Album,Artist,Duration (ms),Rating,Play Count,Removed,Playlist Index
"Lessons In Love (All Day, All Night) (feat. Kaskade)","Picture Show","Neon Trees","223000","5","29","","317"
Title,Album,Artist,Duration (ms),Rating,Play Count,Removed,Playlist Index
"lessons","lessons","mxmtoon","212000","5","33","","29"
Title,Album,Artist,Duration (ms),Rating,Play Count,Removed,Playlist Index
"Let Me Down Slowly","Narrated For You","Alec Benjamin","169000","5","60","","97"
Title,Album,Artist,Duration (ms),Rating,Play Count,Removed,Playlist Index
"Let Them In","White Noise","PVRIS","212000","5","71","","224"
Title,Album,Artist,Duration (ms),Rating,Play Count,Removed,Playlist Index
"Let&#39;s Fall in Love for the Night","Let’s Fall In Love For The Night","FINNEAS","190000","5","23","","32"
Title,Album,Artist,Duration (ms),Rating,Play Count,Removed,Playlist Index
"Level of Concern","Level of Concern","twenty one pilots","220000","5","39","","31"
Title,Album,Artist,Duration (ms),Rating,Play Count,Removed,Playlist Index
"Lies In The Dark","Fifty Shades Darker (Original Motion Picture Soundtrack)","Tove Lo","221000","5","32","","47"
Title,Album,Artist,Duration (ms),Rating,Play Count,Removed,Playlist Index
"Light Years (feat. Richard Walters)","In The Air","Morgan Page","262000","5","84","","231"
Title,Album,Artist,Duration (ms),Rating,Play Count,Removed,Playlist Index
"Likes","Rouge","Yuna","215000","5","13","","35"
Title,Album,Artist,Duration (ms),Rating,Play Count,Removed,Playlist Index
"Losin Control","Losin Control","Russ","237000","5","107","","198"
Title,Album,Artist,Duration (ms),Rating,Play Count,Removed,Playlist Index
"Losing Sleep","Tribute","John Newman","282000","5","48","","346"
Title,Album,Artist,Duration (ms),Rating,Play Count,Removed,Playlist Index
"Lost (Chill Out Mix)","Sunny Tales","Sunlounger","329000","5","53","","88"
Title,Album,Artist,Duration (ms),Rating,Play Count,Removed,Playlist Index
"Lost","channel ORANGE","Frank Ocean","234000","5","161","","168"
Title,Album,Artist,Duration (ms),Rating,Play Count,Removed,Playlist Index
"Loud Places","In Colour","Jamie xx","283000","5","72","","192"
Title,Album,Artist,Duration (ms),Rating,Play Count,Removed,Playlist Index
